,ekologia
0,"https://www.ekologia.pl/wiadomosci/srodowisko/w-kenii-na-swiat-przyszly-sloniowe-bliznieta-to-bardzo-rzadki-przypadek-w-swiecie-zwierzat,28588.html"
1,"https://www.ekologia.pl/wiadomosci/srodowisko/ziemia-nie-przyjmie-juz-wiecej-chemii-to-moze-zagrozic-istnieniu-ludzkosci,28584.html"
2,"https://www.ekologia.pl/wiadomosci/srodowisko/lidl-i-wwf-polska-chca-przekonac-ludzi-by-jedli-mniej-miesa,28579.html"
3,"https://www.ekologia.pl/wiadomosci/srodowisko/szoste-masowe-wymieranie-jest-faktem-i-to-nasza-wina,28575.html"
4,"https://www.ekologia.pl/wiadomosci/srodowisko/wybuch-wulkanu-tonga-fala-uderzeniowa-dotarla-do-polski,28572.html"
5,"https://www.ekologia.pl/wiadomosci/srodowisko/bogate-kraje-musza-przejsc-na-wegetarianizm-jesli-chcemy-uniknac-kryzysu-klimatycznego,28558.html"
6,"https://www.ekologia.pl/wiadomosci/srodowisko/temperatury-w-miastach-gwaltownie-rosna-ratunkiem-moga-byc-drzewa,27424.html"
7,"https://www.ekologia.pl/wiadomosci/srodowisko/we-francji-nie-mozna-juz-pakowac-owocow-i-warzyw-w-plastik,28545.html"
8,"https://www.ekologia.pl/wiadomosci/srodowisko/oplaty-za-korzystanie-ze-srodowiska-kto-i-ile-musi-zaplacic,21282.html"
9,"https://www.ekologia.pl/wiadomosci/srodowisko/kontrowersyjna-zapora-na-wisle-jednak-powstanie-mimo-ostrzezen-ekologow,28529.html"
10,"https://www.ekologia.pl/wiadomosci/srodowisko/mikrodrobiny-plastiku-sa-wszedzie-takze-we-francuskim-gorskim-powietrzu,28518.html"
11,"https://www.ekologia.pl/wiadomosci/srodowisko/dlaczego-niektore-supermarkety-nie-chca-sprzedawac-brazylijskiej-wolowiny,28511.html"
12,"https://www.ekologia.pl/wiadomosci/srodowisko/ogrzewanie-drewnem-moze-powodowac-problemy-zdrowotne-czy-powinnismy-zrezygnowac-z-kominkow,28507.html"
13,"https://www.ekologia.pl/wiadomosci/srodowisko/schroniska-zamykaja-adopcje-przed-swietami,28494.html"
14,"https://www.ekologia.pl/wiadomosci/srodowisko/te-choinki-moga-poprawic-nasze-zdrowie,28488.html"
15,"https://www.ekologia.pl/wiadomosci/srodowisko/kto-produkuje-najwiecej-plastiku-w-tym-niechlubnym-rankingu-wygrywaja-stany-zjednoczone,28466.html"
16,"https://www.ekologia.pl/wiadomosci/srodowisko/nurdle-zanieczyszczaja-nasze-oceany-setkami-tysiecy-plastikowych-granulek,28451.html"
17,"https://www.ekologia.pl/wiadomosci/srodowisko/homary-i-kraby-to-istoty-czujace-i-nie-nalezy-ich-gotowac-zywcem-mowi-brytyjski-raport,28437.html"
18,"https://www.ekologia.pl/wiadomosci/srodowisko/wystarczy-jedna-dawka-pestycydow-by-zatruc-pszczoly-na-wiele-pokolen,28434.html"
19,"https://www.ekologia.pl/wiadomosci/srodowisko/sumatrzanskie-sloniatko-ginie-po-tym-jak-traci-polowe-traby-w-pulapce-klusownikow,28429.html"
20,"https://www.ekologia.pl/wiadomosci/srodowisko/mikrowlokna-z-odziezy-to-spore-wyzwanie-dla-srodowiska,27056.html"
21,"https://www.ekologia.pl/wiadomosci/srodowisko/czy-konferencja-cop26-zmieni-seksistowski-system-finansowania-klimatu,28403.html"
22,"https://www.ekologia.pl/wiadomosci/srodowisko/jesli-chcemy-uratowac-nasza-planete-musimy-jesc-mniej-miesa-i-nabialu,28399.html"
23,"https://www.ekologia.pl/wiadomosci/srodowisko/minister-z-tuvalu-przemowil-na-cop26-stojac-po-kolana-w-wodzie,28394.html"
24,"https://www.ekologia.pl/wiadomosci/srodowisko/torebki-herbaty-uwalniaja-miliardy-plastikowych-czasteczek,25747.html"
25,"https://www.ekologia.pl/wiadomosci/srodowisko/opony-smiertelnym-zagrozeniem-dla-krabow-i-calego-zycia-morskiego,28389.html"
26,"https://www.ekologia.pl/wiadomosci/srodowisko/ponad-40-krajow-w-tym-polska-rezygnuje-z-wegla-a-co-z-najwiekszymi-emitentami,28385.html"
27,"https://www.ekologia.pl/wiadomosci/srodowisko/swiatowi-liderzy-zobowiazuja-sie-do-zakonczenia-wylesiania-do-2030-r,28381.html"
28,"https://www.ekologia.pl/wiadomosci/srodowisko/eko-hipokryzja-politycy-i-biznesmeni-przybywaja-na-cop26-prywatnymi-odrzutowcami,28377.html"
29,"https://www.ekologia.pl/wiadomosci/srodowisko/pozary-wylesianie-i-zmiany-klimatu-zamieniaja-lasy-unesco-w-zrodla-wegla,28369.html"
30,"https://www.ekologia.pl/wiadomosci/srodowisko/kokainowe-hipopotamy-pablo-escobara-uznane-za-osoby-prawne,28368.html"
31,"https://www.ekologia.pl/wiadomosci/srodowisko/zaledwie-2-majatku-elona-muska-moze-rozwiazac-problem-glodu-na-swiecie,28365.html"
32,"https://www.ekologia.pl/wiadomosci/srodowisko/ludzie-w-drastyczny-sposob-zmieniaja-anatomie-dzikich-zwierzat,28353.html"
33,"https://www.ekologia.pl/wiadomosci/srodowisko/kiedy-rosliny-moga-rozmawiac-lepiej-rosna,18177.html"
34,"https://www.ekologia.pl/wiadomosci/srodowisko/jesz-z-plastiku-narazasz-sie-na-wiele-niebezpiecznych-substancji-chemicznych,28327.html"
35,"https://www.ekologia.pl/wiadomosci/srodowisko/funkcjonariusze-usuneli-opone-ktora-przez-dwa-lata-nosil-na-szyi-samiec-jelenia,28324.html"
36,"https://www.ekologia.pl/wiadomosci/srodowisko/co-mozna-znalezc-na-baltyckich-plazach-na-pewno-nie-muszelki,28319.html"
37,"https://www.ekologia.pl/wiadomosci/srodowisko/kryzys-klimatyczny-coraz-bardziej-obciaza-zdrowie-psychiczne-dzieci-i-mlodziezy,28307.html"
