,interia
0,"https://zielona.interia.pl/klimat/news-usuniecie-co2-z-powietrza-konieczne-do-zatrzymania-ociepleni,nId,5881598"
1,"https://zielona.interia.pl/klimat/news-dzien-kobiet-2022-zmiany-klimatu-nie-uderzaja-po-rowno-kobie,nId,5879269"
2,"https://zielona.interia.pl/klimat/news-rada-klimatyczna-katastrofalne-ulewy-w-australii-to-wina-zmi,nId,5877276"
3,"https://zielona.interia.pl/news-ulewy-w-australii-zabily-15-osob-premier-winna-jest-zmiana-k,nId,5871680"
4,"https://zielona.interia.pl/news-krakow-pierwszym-miastem-ze-strefa-czystego-transportu-jeszc,nId,5871379"
5,"https://zielona.interia.pl/news-lwy-i-tygrysy-z-kijowskiego-zoo-jada-do-poznania-dyrektorka-,nId,5869454"
6,"https://zielona.interia.pl/polityka-klimatyczna/news-onz-chce-rozprawic-sie-z-plastikiem-to-krok-milowy-w-walce-o,nId,5869432"
7,"https://zielona.interia.pl/polityka-klimatyczna/news-oto-jak-unia-europejska-chce-odciac-sie-od-rosyjskiego-gazu,nId,5867377"
8,"https://zielona.interia.pl/klimat/news-karny-kopciuch-tu-mozesz-naskarzyc-na-sasiada-ktory-dymi,nId,5865828"
9,"https://zielona.interia.pl/polityka-klimatyczna/news-trzeba-wstrzymac-import-surowcow-z-rosji-putin-nie-zatrzyma-,nId,5865272"
10,"https://zielona.interia.pl/klimat/news-problem-zagrazajacy-bezpieczenstwu-na-rowni-z-wojna-apel-cze,nId,5863584"
11,"https://zielona.interia.pl/klimat/news-ukryte-zanieczyszczenia-przemysl-paliw-kopalnych-emituje-o-7,nId,5863571"
12,"https://zielona.interia.pl/klimat/news-polscy-naukowcy-o-raporcie-ipcc-nie-mozemy-czekac-na-katastr,nId,5861379"
13,"https://zielona.interia.pl/polityka-klimatyczna/news-koalicja-klimatyczna-polska-powinna-przestac-kupowac-wegiel-,nId,5860967"
14,"https://zielona.interia.pl/klimat/news-nowy-raport-ipcc-pokazuje-katastrofalne-skutki-zmian-klimatu,nId,5860785"
15,"https://zielona.interia.pl/klimat/news-naukowiec-z-ukrainy-ciezko-jest-teraz-rozmawiac-o-klimacie,nId,5860589"
