,zielonewiadomosci
0,https://zielonewiadomosci.pl/tematy/rolnictwo/czy-tereny-rolne-w-europie-moga-wesprzec-roznorodnosc-biologiczna/
1,https://zielonewiadomosci.pl/tematy/ekologia/korzenie-w-naturze-patogen-a-polityka-wobec-roznorodnosci-biologicznej/
2,https://zielonewiadomosci.pl/zw/zysk-kontra-natura-wyscig-z-czasem/
3,https://zielonewiadomosci.pl/tematy/ekologia/jak-kopalnia-wegla-brunatnego-janschwalde-wplywa-na-polskie-gminy/
4,https://zielonewiadomosci.pl/tematy/ekologia/wplyw-pandemii-covid-19-na-srodowisko/
5,https://zielonewiadomosci.pl/zw/nieodrobiona-lekcja-przyrody/
6,https://zielonewiadomosci.pl/tematy/ekologia/deklaracje-podczas-cop-26-i-rozwiane-nadzieje/
7,https://zielonewiadomosci.pl/news/znika-las-w-mateczniku-orla-przedniego/
8,https://zielonewiadomosci.pl/tematy/ekologia/ponad-3300-osob-zada-od-ministra-adamczyka-lepszej-ochrony-wody/
9,https://zielonewiadomosci.pl/tematy/feminizm/prawo-do-aborcji-i-sprawiedliwosc-reprodukcyjna/
10,https://zielonewiadomosci.pl/news/przepis-na-osmiornice-to-przepis-na-katastrofe/
11,https://zielonewiadomosci.pl/tematy/rolnictwo/polityka-ue-nie-jest-w-stanie-zapobiec-nadmiernemu-korzystaniu-z-zasobow-wodnych-przez-rolnikow/
12,https://zielonewiadomosci.pl/tematy/ekologia/tak-dla-ochrony-wody-nie-dla-przywilejow-wegla/
13,https://zielonewiadomosci.pl/tematy/ekologia/ponad-2-miliony-zlotych-dziennie-kary-za-wydobycie-wegla-w-turowie/
14,https://zielonewiadomosci.pl/tematy/ekologia/cyfrowa-kontrola-jak-big-tech-wkracza-do-sektora-rolno-spozywczego-i-co-to-oznacza/
15,https://zielonewiadomosci.pl/news/greenpeace-na-ratunek-lesnym-zapylaczom/
16,https://zielonewiadomosci.pl/tematy/polityka-krajowa/wytna-lasy-pod-polskie-elektryki-lex-izera-z-powrotem-sejmie/
17,https://zielonewiadomosci.pl/tematy/transport/feniks-w-krainie-weglowych-popiolow/
18,https://zielonewiadomosci.pl/tematy/ekologia/koszty-zanieczyszczen-ponosza-zbyt-czesto-europejscy-podatnicy-a-nie-podmioty-za-nie-odpowiedzialne/
19,https://zielonewiadomosci.pl/tematy/zwierzeta/komisja-europejska-zdecydowala-zakaz-hodowli-klatkowej/
20,https://zielonewiadomosci.pl/tematy/rolnictwo/wspolna-polityka-rolna-niszczy-klimat/
21,https://zielonewiadomosci.pl/zw/magiczne-technologie-mamia/
22,https://zielonewiadomosci.pl/news/ogromne-poparcie-parlamentu-europejskiego-dla-zakazu-hodowli-klatkowej-zwierzat-gospodarskich/
23,https://zielonewiadomosci.pl/news/czy-miedzynarodowa-komisja-ochroni-odre-przed-destrukcyjnym-dzialaniem-kopalni-odkrywkowych/
24,https://zielonewiadomosci.pl/zw/pis-najgoretszym-zwolennikiem-nowych-gmo-w-ue/
25,https://zielonewiadomosci.pl/tematy/energetyka/biomasa-lesna-rownie-zla-jak-wegiel/
26,https://zielonewiadomosci.pl/zw/euractiv-pl-janusz-wojciechowski-reforma-wspolnej-polityki-rolnej-to-szansa-dla-malych-i-srednich-gospodarstw/
27,https://zielonewiadomosci.pl/tematy/zwierzeta/czy-europoslowie-i-europoslanki-zrobia-cos-by-powstrzymac-kolejne-pandemie/
28,https://zielonewiadomosci.pl/tematy/rolnictwo/epidemia-ferm-przemyslowych-gorsza-od-epidemii-ptasiej-grypy/
29,https://zielonewiadomosci.pl/zw/nie-ma-zielonego-ladu-bez-rolnikow/
30,https://zielonewiadomosci.pl/news/brutalny-atak-na-osoby-protestujace-w-sprawie-utworzenia-turnickiego-parku-narodowego/
31,https://zielonewiadomosci.pl/tematy/rolnictwo/wspolna-polityka-rolna-do-kosza/
32,https://zielonewiadomosci.pl/tematy/polityka-krajowa/i-tak-sprywatyzuja-twoj-las-organizacje-i-ruchy-spoleczne-negatywnie-o-nowelizacji-ustawy-o-lasach/
33,https://zielonewiadomosci.pl/news/20-maja-swiatowy-dzien-pszczol/
34,https://zielonewiadomosci.pl/tematy/polityka-krajowa/spoleczna-mobilizacja-w-obronie-przyrody-wstrzymala-fatalny-projekt-nowelizacji-ustawy-o-lasach/
35,https://zielonewiadomosci.pl/zw/uwolnic-gmo/
36,https://zielonewiadomosci.pl/tematy/ekologia/model-zarzadzania-lasami-wymaga-gruntownej-zmiany/
37,https://zielonewiadomosci.pl/tematy/miasto-2/kapitalizm-machina-zaglady/
38,https://zielonewiadomosci.pl/tematy/ekologia/powiedzmy-stop-nowym-gmo-apel-do-polskich-ministrow/
39,https://zielonewiadomosci.pl/tematy/zwierzeta/bez-taniego-miesa-i-antybiotykow/
40,https://zielonewiadomosci.pl/tematy/ekologia/jak-trzeba-mozemy-i-szczekac-byle-uratowac-baltyk/
41,https://zielonewiadomosci.pl/tematy/energetyka/inwestycje-gazowe-wykluczone-z-listy-zrownowazonych-ale-unia-zgadza-sie-na-palenie-lasami-w-elektrowniach/
42,https://zielonewiadomosci.pl/tematy/ekologia/agroekologia-i-suwerennosc-zywnosciowa-droga-do-zrownowazonego-systemu-rolnego-i-sprawiedliwosci-spolecznej/
43,https://zielonewiadomosci.pl/zw/poparcie-komisji-europejskiej-dla-chowu-bezklatkowego/
44,https://zielonewiadomosci.pl/tematy/ekologia/zielona-rewolucja-billa-gatesa-szkodzi-klimatowi/
45,https://zielonewiadomosci.pl/news/ochrona-wod-i-bioroznorodnosci-w-krajowym-planie-odbudowy/
46,https://zielonewiadomosci.pl/news/niedobory-wody-wyzwanie-numer-jeden-dla-wielkopolski-wschodniej-i-belchatowa/
47,https://zielonewiadomosci.pl/news/podsumowanie-ogolnopolskiej-akcji-inicjatyw-spolecznych-wspolny-las/
48,https://zielonewiadomosci.pl/tematy/zwierzeta/deformacje-pasozyty-i-dewastacja-srodowiska-ukrytym-kosztem-hodowli-szkockiego-lososia/
49,https://zielonewiadomosci.pl/tematy/transport/organizacje-pozarzadowe-naukowcy-i-politycy-domagaja-sie-wstrzymania-planow-regulacji-odry/
50,https://zielonewiadomosci.pl/tematy/energetyka/socjalistyczne-monstrum-znow-zagraza-wisle/
51,https://zielonewiadomosci.pl/news/glifosat-w-kaszy-gryczanej-sonko/
